Income,Age,Gender,Education,Wealth,Consumption
34981,43,1,3,0,60718.878
58958,53,1,9,0,125744.83
0,44,1,2,0,69004.906
254292,38,1,3,15000,56905.162
115289,42,1,9,0,98616.356
138035,63,2,9,0,38202.257
73907,77,1,9,0,52398.251
18294,41,1,2,0,54852.34
31224,50,1,9,0,77755.622
91279,44,1,11,0,243755.545
0,46,1,9,0,133267.375
69335,51,1,3,0,77530.766
47811,45,1,3,0,86992.185
95148,56,2,9,0,55196.78
86845,69,1,9,0,106815.865
12723,61,1,2,28000,96240.934
13571,58,1,3,0,94013.911
0,66,1,10,0,90211.696
7852,51,2,2,0,63098.602
0,60,2,3,0,195704.943
0,60,1,9,180000,171871.475
0,19,2,3,0,53220.846
31224,81,1,3,0,45637.736
56020,38,1,10,0,104553.647
16964,52,2,2,0,86044.503
0,52,2,2,2500,43890.437
15692,43,1,9,0,100727.295
21983,56,1,9,300000,59480.04
18232,37,2,1,0,26285.87
26717,32,1,1,0,38240.046
23840,61,2,2,0,33542.914
25411,58,2,3,0,12278.8367
25882,50,1,2,0,23369.04
0,35,1,1,0,18835.345
0,24,1,1,0,17561.9237
0,41,1,0,0,3999.318
0,56,2,0,20000,4607.9684
87692,47,1,0,0,24409.403
32451,37,2,3,0,21593.939
38479,34,2,2,0,12129.0232
0,49,1,1,0,19570.168
108366,56,1,3,100000,48251.258
19170,77,1,0,0,23214.5007
27161,35,1,0,0,23214.657
4280,60,2,2,0,20948.7867
77979,40,1,2,3500,26199.978
18830,37,1,2,1000,19337.133
18745,53,2,2,0,34154.611
130416,44,1,3,47000,45004.055
18756,42,1,2,70000,53163.449
8531,59,2,2,0,32557.361
8265,56,2,2,0,20940.03
0,56,1,3,0,40107.534
97734,47,1,1,0,71881.379
0,54,2,3,0,26742.4435
46250,41,1,3,0,47262.873
34544,35,1,1,0,20140.301
0,54,2,2,0,37598.553
8821,53,1,8,0,100409.805
0,44,1,2,300000,45281.966
36115,30,1,3,0,35748.059
58726,31,1,1,0,11798.2244
14969,40,1,2,0,31399.452
69794,61,2,2,0,268671.177
0,38,1,2,0,40359.047
0,38,1,2,0,37265.119
36638,42,1,2,0,41587.02
9092,51,1,2,0,32661.696
22682,52,1,2,0,71317.757
0,59,2,2,2400,26578.838
0,37,1,3,0,110690.859
92754,54,2,3,4800,50044.143
0,84,2,2,0,9396.5975
70336,50,1,2,0,90459.882
67536,46,2,3,0,45305.504
39416,36,1,3,0,44351.57
0,76,2,0,0,6750.6734
0,51,2,1,0,16237.874
163382,35,1,10,0,95356.434
200085,27,1,9,0,94265.646
66821,54,1,9,0,97256.306
47533,48,2,3,0,7019.447
0,57,1,8,0,22261.717
29645,60,2,2,0,21897.885
27566,53,2,2,0,32318.261
0,50,2,1,0,31892.387
174389,55,2,3,0,96782.672
55527,51,2,9,0,48262.526
61174,57,2,3,0,58305.283
0,32,1,3,0,54828.898
18550,73,2,0,0,43872.743
56468,64,1,9,0,96761.091
42351,61,1,9,0,85106.433
0,50,1,3,0,32060.045
22040,64,2,2,0,38538.369
47203,50,1,3,0,43429.02
15522,27,2,2,0,29015.012
14325,42,1,2,0,45479.361
0,41,2,2,20000,11834.9994
25985,44,1,2,0,48062.944
45566,58,2,9,0,80623.211
111325,69,1,3,0,51493.762
0,48,2,2,0,57316.599
54124,50,1,1,0,80087.073
0,66,1,8,0,79451.098
51588,51,1,2,0,67561.255
2160,45,1,3,0,45176.65
39998,43,2,3,0,38582.217
45554,50,1,1,0,54016.004
51260,50,2,3,0,73215.787
53760,51,2,3,0,49841.361
21643,38,1,1,0,36402.972
0,53,1,1,0,41025.5
22469,51,1,3,0,43853.599
10643,67,2,1,0,52747.559
23777,44,2,1,0,54206.887
23776,40,1,1,60000,47127.255
47062,54,1,0,15000,42147.324
88552,73,2,0,5000,41258.443
107332,40,1,2,0,40995.03
51207,57,1,2,0,106943.824
65478,89,1,1,0,54133.857
44632,46,1,2,0,21926.4
48852,55,2,1,0,24107.703
0,51,1,1,0,77437.736
95509,33,1,1,0,61238.876
33585,46,1,2,0,46093.575
120121,46,1,3,0,36501.856
91591,72,2,3,0,96125.638
26816,51,2,1,0,24411.381
0,73,1,3,0,61356.59
0,43,1,9,0,64751.628
0,50,1,2,0,16238.7233
16530,53,1,2,0,39591.543
29296,71,1,3,0,97061.312
72859,44,1,2,0,53835.58
41694,42,1,3,0,61472.897
0,53,1,2,0,48263.282
0,77,2,3,0,41701.57
20147,63,1,9,0,58108.423
35265,74,2,3,0,98983.692
39168,40,1,2,0,45474.127
32533,47,2,2,0,46518.369
65744,66,1,2,0,57138.471
20587,45,1,9,0,78253.774
14537,62,1,3,0,68289.607
17388,44,1,2,0,86097.38
11705,37,1,2,0,36817.034
9161,45,2,2,0,21266.8785
50969,75,2,0,15000,31448.798
26283,67,1,1,20000,30931.484
0,39,2,1,0,9826.298
30725,26,1,1,0,16960.7355
21808,51,2,3,0,49163.162
0,63,1,2,0,31541.388
30007,47,2,3,0,54330.246
63055,47,1,3,0,59409.914
49880,53,1,3,7000,63856.665
155284,42,2,2,12000,35632.02
0,69,1,9,0,51219.802
73128,51,1,2,0,36773.546
150017,37,1,2,0,29502.531
33612,72,1,2,5000,39612.389
17970,38,1,3,0,25563.405
43989,34,1,12,0,49947.91
63183,59,2,2,0,143092.018
25071,54,1,3,0,53052.49
44265,75,1,9,0,126306.55
0,58,2,3,0,42345.62
79015,59,2,9,0,93583.656
0,56,2,3,0,22332.16
28119,75,1,9,0,89044.775
0,71,2,2,0,45087.236
160120,54,2,2,0,161605.264
0,70,2,2,0,49938.309
0,92,1,9,0,115128.174
78915,50,1,3,0,64795.93
34438,55,1,3,0,47813.701
0,57,1,2,0,20324.2317
63594,56,1,3,0,56558.014
20063,60,2,9,0,114008.61
158864,40,1,3,0,89268.617
105941,42,1,3,0,87488.576
0,50,1,9,300000,112789.062
56755,53,1,3,0,148792.43
101937,42,1,2,40000,46873.367
20151,61,1,3,0,103497.95
58691,79,1,3,0,39164.057
161667,72,2,1,0,59563.918
74882,70,2,2,0,55392.001
0,55,1,3,0,27856.748
43951,70,1,1,0,23533.436
82373,45,1,3,0,57045.914
78757,41,1,2,0,45737.283
0,56,1,3,0,49438.598
52741,29,1,3,0,28238.532
0,35,1,3,0,42093.33
22775,29,1,3,0,27743.514
46469,56,1,9,0,88967.394
93172,78,2,1,0,355716.007
226435,52,2,3,0,64252.26
29388,44,1,3,0,42545.193
23601,55,1,9,0,29164.109
49723,49,1,2,0,38113.352
0,30,1,9,23000,162984.28
65018,34,1,9,0,68165.096
21398,60,1,3,0,58449.25
0,50,1,3,0,55098.117
107447,50,1,9,0,75913.35
16269,56,1,2,0,58738.292
2755,25,1,9,0,42708.217
51060,60,2,3,0,32041.686
74349,25,2,3,0,60597.925
55998,66,1,11,0,63861.47
9551,54,2,3,0,77419.957
73928,32,1,8,0,76772.199
57030,70,1,9,25000,105705.664
0,46,2,9,0,34363.4975
46234,56,2,2,0,49500.279
0,84,2,3,0,13368.0947
44539,43,1,2,0,53346.498
123977,59,1,3,0,55656.153
37646,42,1,9,0,44202.751
72091,70,1,9,0,24295.892
66350,50,1,8,0,61023.373
82331,71,1,2,0,81146.34
27826,54,2,9,0,67479.576
93831,69,2,2,0,40106.359
153404,53,2,9,0,60720.811
64938,33,2,3,0,37297.095
55560,45,2,3,0,50357.231
161537,36,1,3,12000,63126.207
0,74,1,0,0,15757.036
0,38,1,2,0,51313.542
50050,48,1,9,0,60084.707
52702,60,1,9,0,67278.438
0,74,2,9,0,42086.486
43619,66,1,3,0,43689.649
33324,45,1,1,0,35202.329
73286,58,2,2,0,74605.77
37987,55,1,2,0,58394.47
9575,62,1,3,0,53514.858
75529,55,1,2,0,26957.329
0,41,2,3,0,41362.9403
0,70,1,2,0,12911.19
0,46,2,2,0,51209.89
100775,48,1,10,0,35234.652
42996,42,1,2,0,61740.851
18078,48,2,8,0,26927.129
20677,50,2,0,0,21432.384
0,73,1,0,0,12036.9573
0,80,2,0,0,5645.8403
9041,41,1,2,0,23211.85
27569,69,1,1,0,43433.321
11708,46,2,2,0,41511.027
12712,38,1,2,0,20538.915
41768,70,1,0,0,19884.245
21640,48,2,2,0,55110.623
24681,41,1,1,0,34032.004
195412,42,1,3,0,45431.547
0,35,1,1,0,20262.825
28172,35,1,3,13500,37042.534
14528,30,1,1,0,30988.599
0,56,1,0,0,10918.2646
0,54,1,3,0,19144.444
9928,66,2,0,0,21325.2974
23538,56,2,0,0,49324.931
0,53,1,2,0,29579.087
0,73,1,2,0,8746.434
0,45,1,2,0,29109.679
16111,45,2,2,0,69793.273
6437,40,1,1,3000,21661.965
0,45,2,2,0,14781.9927
0,52,1,2,0,48744.851
31285,60,1,2,0,31165.479
14858,52,1,2,0,31118.184
4367,40,1,1,0,27079.724
10381,67,2,0,0,28706.856
247,58,1,9,0,62008.016
31467,42,1,3,0,45800.971
14528,49,2,9,0,67510.463
14594,49,1,3,0,55875.666
22543,43,1,2,0,42208.803
26894,48,1,3,0,27791.279
0,49,1,2,0,48350.906
23084,43,1,2,0,35116.307
11655,48,1,2,0,42927.525
38664,35,1,1,0,29449.493
0,49,2,2,0,26599.847
0,55,2,3,0,47140.092
33666,64,2,2,30000,70103.237
4920,49,1,2,0,38239.816
0,78,1,1,0,8361.3005
6590,54,2,0,0,27455.345
60064,37,2,2,0,17258.894
19832,47,1,2,0,23914.785
0,29,2,2,12000,31818.883
0,58,2,1,0,24891.356
16981,53,2,2,0,31831.61
15254,52,1,2,0,73312.123
0,58,1,2,0,10137.0878
8749,57,1,3,0,34046.26
0,48,1,2,15000,30612.046
0,46,1,2,0,9575.1694
0,24,1,1,0,11590.8111
27320,66,1,1,0,17201.634
7539,52,1,2,0,24709.987
0,73,1,2,0,6569.7082
0,79,2,0,2000,4106.0075
0,38,1,1,0,25277.056
0,37,1,2,0,23592.126
0,38,1,1,0,25264.253
33018,53,1,2,0,21129.295
12771,41,1,2,0,31722.355
32874,38,1,3,0,35502.54
22988,37,1,1,0,12078.75
0,39,1,1,0,36446.028
0,32,1,0,0,22272.471
17856,38,2,1,0,20081.531
2758,55,1,1,0,39750.894
6728,37,1,1,0,38318.615
16229,38,1,2,0,36170.081
21513,58,1,2,0,51533.847
24687,33,1,1,0,14642.6841
54300,48,1,2,0,28127.487
21109,45,1,2,0,19482.9516
0,45,1,2,15000,53210.01
8899,50,1,2,0,33529.209
12368,69,1,0,0,20546.75
0,53,1,2,0,22142.086
0,48,1,9,0,36068.043
29415,45,1,2,0,33598.858
26763,72,1,0,0,9613.7823
15211,49,1,1,0,21195.219
29735,42,1,2,0,35026.093
41257,53,1,2,0,18282.399
21049,36,2,2,0,23475.9
12547,37,2,9,0,44115.852
0,52,1,3,0,32381.875
47092,49,1,2,0,20038.647
0,62,2,2,0,25746.843
32622,63,1,9,0,32071.6985
3838,49,2,2,0,58063.515
0,69,1,9,0,28431.791
9953,78,1,9,0,84385.909
93997,55,1,9,750000,122144.815
0,50,2,2,0,67275.795
18242,59,2,1,0,23986.9363
92069,68,2,1,0,20313.474
0,38,1,3,0,26811.974
5489,44,1,3,0,38741.397
0,40,1,2,0,21608.724
0,41,1,2,12000,23025.354
0,48,2,8,0,26368.995
0,52,1,0,0,7767.68393
32098,38,1,1,0,19012.15
35576,60,1,3,0,12286.6746
0,57,1,3,15000,20424.697
0,46,2,2,0,2129.0342
21256,60,2,3,0,9427.8982
20290,36,1,2,60000,20623.446
23237,37,1,2,0,21560.052
0,36,1,2,0,23646.967
17198,56,1,1,0,16760.6597
0,73,2,0,0,8342.2458
0,78,1,0,0,7567.4524
0,55,1,9,0,36788.271
32024,45,1,2,6500,24572.325
0,76,1,2,0,11544.5965
0,42,2,2,0,30746.125
2586,35,1,3,0,35843.509
0,57,2,9,0,61215.024
20224,68,1,3,0,57043.234
